Title,Director,Popularity
STRING,CAT,
Tie Me Up! Tie Me Down!,"Almodóvar, Pedro",68.0
High Heels,"Almodóvar, Pedro",68.0
"Dead Zone, The","Cronenberg, David",79.0
Cuba,"Lester, Richard",6.0
Days of Heaven,"Malick, Terrence",14.0
Octopussy,"Glen, John",68.0
Target Eagle,"Loma, José Antonio de la",14.0
"American Angels: Baptism of Blood, The","Sebastian, Beverly",28.0
Subway,"Besson, Luc",6.0
Camille Claudel,"Nuytten, Bruno",32.0
Fanny and Alexander,"Bergman, Ingmar",81.0
Tragedy of a Ridiculous Man,"Bertolucci, Bernardo",17.0
A Man & a Woman,"Lelouch, Claude",46.0
A Man & a Woman: Twenty Years Later,"Lelouch, Claude",49.0
Un Hombre y una Mujer,"Lelouch, Claude",6.0
"Official Story, The","Puenzo, Luiz",39.0
"Lindbergh Kidnapping Case, The","Kulik, Buzz",51.0
Blackmail,"Hitchcock, Alfred",2.0
Donovan's Reef,"Ford, John",62.0
Tucker: The Man & His Dream,"Coppola, Francis Ford",68.0
Scrooged,"Donner, Richard",15.0
Raiders of the Lost Ark,"Spielberg, Steven",8.0
"Running Man, The","Glaser, Paul Michael",31.0
Predator 2,"Hopkins, Stephen",79.0
Colors,"Hopper, Dennis",23.0
Zandalee,"Pillsbury, Sam",80.0
Miles from Home,"Sinise, Gary",53.0
Happy Birthday to Me,"Thompson, J. Lee",88.0
Final Notice,"Stern, Steven Hilliard",88.0
Quintet,"Altman, Robert",19.0
"Devil's Eye, The","Bergman, Ingmar",20.0
Wild Strawberries,"Bergman, Ingmar",42.0
"Seventh Seal, The","Bergman, Ingmar",62.0
Germicide,,36.0
Dreams,"Bergman, Ingmar",14.0
"Naked Night, The","Bergman, Ingmar",38.0
Through a Glass Darkly,"Bergman, Ingmar",64.0
Cries & Whispers,"Bergman, Ingmar",18.0
"Barbarian & the Geisha, The","Huston, John",52.0
Casino Royale,"Hughes, Ken",11.0
Dr. No,"Young, Terence",7.0
Elephant Walk,,11.0
Ten,"Edwards, Blake",60.0
"Man Who Loved Women, The","Edwards, Blake",67.0
Hawaii,"Hill, George Roy",8.0
Torn Curtain,"Hitchcock, Alfred",35.0
Duet for One,"Konchalovsky, Andrei",82.0
"Sound of Music, The","Wise, Robert",59.0
Gonzo Presents Muppet Weird Stuff,,88.0
Tartuffe,"Depardieu, Gérard",67.0
A New Life,"Alda, Alan",53.0
Magic,"Attenborough, Richard",85.0
Tommy,"Russell, Ken",5.0
"Big Fix, The","Kagan, Jeremy Paul",19.0
Alan & Naomi,"Vanwagenen, Sterling",3.0
Fatal Attraction,"Lyne, Adrian",61.0
Patriot Games,"Noyce, Phillip",28.0
"Woman Next Door, The","Truffaut, François",82.0
Hunting,"Howson, Frank",68.0
Bataan,,68.0
"Siegfried, The Nibelungenlied","Lang, Fritz",79.0
"Henry, Portrait of a Serial Killer",,69.0
"Big Blue, The","Besson, Luc",7.0
Flight of the Intruder,"Milius, John",51.0
Nobody's Fool,"Purcell, Evelyn",52.0
After Hours,"Scorsese, Martin",81.0
Desperately Seeking Susan,"Seidelman, Susan",41.0
A New Leaf,"May, Elaine",83.0
Killers of Kilimanjaro,"Thorpe, Richard",11.0
Don Juan,"Crosland, Alan",55.0
Babette's Feast,"Axel, Gabriel",79.0
"Vincent, Francois, Paul & the Others",,20.0
Thunderball,"Young, Terrence",8.0
Lodger (Story of the London Fog),"Hitchcock, Alfred",76.0
Appointment with Death,"Donaggio, Michael Winner",75.0
Murder on the Orient Express,"Lumet, Sidney",8.0
Blood Alley,"Wellman, William",15.0
"Spy Who Loved Me, The","Gilbert, Lewis",27.0
Storm,"Winning, David",61.0
Bloodbath,,37.0
Miami Cops,"Bradley, Al",40.0
"Island of Dr. Moreau, The","Frankenheimer, John",39.0
Eighty-Four Charing Cross Road,"Jones, David",9.0
"Elephant Man, The","Lynch, David",3.0
Dr Alien,"DeCoteau, David",70.0
Creepshow,"Romero, George A.",70.0
Sammy & Rosie Get Laid,"Frears, Stephen",6.0
"Goalie's Anxiety at the Penalty Kick, The","Wenders, Wim",62.0
Mademoiselle Striptease,"Allegret, Marc",25.0
"Women, The","Aurel, Jean",66.0
That Naughty Girl,"Boisrond, Michel",37.0
Voulez-Vous Danser Avec Moi?,"Boisrond, Michel",16.0
"A Coeur Joie, (Head Over Heels)","Bourguignon, Serge",54.0
Shalako,"Dmytryk, Edward",0.0
Contempt,"Godard, Jean-Luc",81.0
Dear Brigitte,"Koster, Henry",71.0
A Very Private Affair,"Malle, Louis",30.0
"Ravishing Idiot, The","Molinaro, Edouard",34.0
"Bride Is Much Too Beautiful, The","Surin, Fred",70.0
Doctor at Sea,"Thomas, Ralph",83.0
"Le Repos Du Guerrier, (Warrior's Rest)","Vadim, Roger",8.0
